term_id	term_name	term_source	He_down	He_up	Lind_down	Lind_up	Car_down	Car_up	Bai_F_abd_down	Bai_F_abd_up	Bai_F_head_down	Bai_F_head_up	Bai_M_abd_down	Bai_M_abd_up	Bai_M_head_down	Bai_M_head_up	Mean_adj_pvalue	He_down_adj_pvalue	He_up_adj_pvalue	Lind_down_adj_pvalue	Lind_up_adj_pvalue	Car_down_adj_pvalue	Car_up_adj_pvalue	Bai_F_abd_down_adj_pvalue	Bai_F_abd_up_adj_pvalue	Bai_F_head_down_adj_pvalue	Bai_F_head_up_adj_pvalue	Bai_M_abd_down_adj_pvalue	Bai_M_abd_up_adj_pvalue	Bai_M_head_down_adj_pvalue	Bai_M_head_up_adj_pvalue
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077302	0.077302	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0005509	calcium ion binding	GO:MF	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0.027532915	0.077302	1	1	1	1	1	1	1.35566E-05	1	1	1	0.005283188	1	1
GO:0030506	ankyrin binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077302	0.077302	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0008381	mechanosensitive ion channel activity	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089986497	0.089986497	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016624	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089986497	0.089986497	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0030976	thiamine pyrophosphate binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089986497	0.089986497	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0043169	cation binding	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.078447909	0.119518179	1	1	1	1	1	1	1	0.037377639	1	1	1	1	1
KEGG:00310	Lysine degradation	KEGG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021452651	0.021452651	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG:00380	Tryptophan metabolism	KEGG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021452651	0.021452651	1	1	1	1	1	1	1	1	1	1	1	1	1
HP:0410309	Alpha-aminoadipic aciduria	HP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149881316	0.149881316	1	1	1	1	1	1	1	1	1	1	1	1	1
